SiO2,Al2O3,Fe2O3,CaO,MgO,SO3,Na2O,K2O,Na2O,Cl,FreeCaO,LSF,SR,AF,C3S,C2S,C3A,C4AF,C4AFplus2C3A,Liquid,litreweight
21.43,4.35,4.84,63.2,4.42,0.87,0.07,0.46,0.38,0.02,1.68,91.66,2.33,0.9,55.71,19.5,3.35,14.72,21.41,28.45,1281
21.37,4.34,4.85,63.11,4.32,0.94,0.07,0.48,0.39,0.02,1.7,91.72,2.33,0.89,55.72,19.31,3.3,14.73,21.34,28.33,1249
21.41,4.27,4.78,63.1,4.31,0.91,0.08,0.47,0.39,0.02,1.81,91.74,2.37,0.89,56.01,19.21,3.23,14.54,20.99,27.97,1217
21.43,4.29,4.72,63.19,4.34,0.94,0.08,0.47,0.39,0.02,1.91,91.79,2.38,0.91,56.1,19.2,3.38,14.35,21.12,27.93,1190
21.58,4.27,4.61,63.24,4.31,0.87,0.08,0.45,0.37,0.02,1.75,91.5,2.43,0.93,55.63,19.98,3.54,14,21.08,27.58,1196
21.48,4.37,4.67,63.18,4.27,0.88,0.07,0.43,0.36,0.02,1.68,91.55,2.38,0.93,55.34,19.93,3.68,14.21,21.56,27.96,1249
21.29,4.41,4.66,63.33,4.21,0.91,0.12,0.44,0.41,0.02,1.81,92.41,2.35,0.95,57.06,18.09,3.82,14.15,21.78,28.03,1172
21.34,4.48,4.66,63.39,4.28,0.89,0.14,0.42,0.41,0.02,1.83,92.19,2.33,0.96,56.46,18.68,3.99,14.17,22.16,28.33,1152
21.36,4.48,4.63,63.09,4.41,0.88,0.13,0.41,0.4,0.02,1.69,91.73,2.35,0.97,55.22,19.68,4.03,14.08,22.14,28.37,1178
21.38,4.46,4.55,63.07,4.52,0.93,0.13,0.42,0.41,0.02,1.69,91.65,2.37,0.98,55.02,19.89,4.13,13.84,22.1,28.28,1167
21.47,4.37,4.54,63.09,4.42,0.85,0.14,0.41,0.41,0.02,1.79,91.59,2.41,0.96,55.31,19.92,3.89,13.81,21.6,27.88,1160
21.49,4.34,4.54,63.01,4.58,0.85,0.13,0.42,0.4,0.02,1.67,91.46,2.42,0.96,55.08,20.16,3.82,13.79,21.43,27.92,1169
21.46,4.39,4.55,63.08,4.67,0.84,0.13,0.42,0.41,0.02,1.7,91.61,2.4,0.96,55.28,19.9,3.94,13.83,21.72,28.2,1183
21.43,4.39,4.57,63.18,4.5,0.86,0.13,0.43,0.42,0.02,1.77,91.82,2.39,0.96,55.78,19.43,3.93,13.89,21.74,28.1,1158
21.46,4.4,4.54,63.17,4.6,0.83,0.13,0.43,0.41,0.02,1.77,91.72,2.4,0.97,55.56,19.7,3.97,13.81,21.76,28.15,1107
21.49,4.29,4.54,63.15,4.52,0.87,0.13,0.44,0.42,0.02,1.77,91.71,2.43,0.94,55.86,19.56,3.7,13.81,21.21,27.76,1151
21.54,4.25,4.52,63.15,4.36,0.9,0.13,0.44,0.42,0.02,1.84,91.61,2.46,0.94,55.77,19.76,3.63,13.73,21,27.44,1134
21.41,4.27,4.58,63.34,4.17,0.92,0.14,0.46,0.44,0.02,1.89,92.23,2.42,0.93,57.17,18.35,3.58,13.93,21.1,27.45,1153
21.39,4.34,4.68,63.17,4.07,0.9,0.14,0.45,0.43,0.02,1.83,91.9,2.37,0.93,56.11,19.07,3.6,14.23,21.43,27.77,1137
21.51,4.42,4.64,63.2,4.11,0.84,0.13,0.43,0.42,0.02,1.7,91.47,2.37,0.95,55.03,20.23,3.88,14.1,21.86,27.95,1217
21.38,4.4,4.74,63.09,4.13,0.9,0.14,0.45,0.43,0.02,1.72,91.68,2.34,0.93,55.41,19.58,3.64,14.42,21.7,28.14,1271
21.46,4.39,4.67,63.23,4.03,0.98,0.14,0.48,0.45,0.02,1.71,91.58,2.37,0.94,55.3,19.88,3.75,14.19,21.7,27.88,1229
21.48,4.38,4.65,63.17,4.12,0.93,0.14,0.46,0.44,0.02,1.76,91.48,2.38,0.94,55.09,20.11,3.75,14.14,21.63,27.87,1207
21.47,4.39,4.59,63.22,4.17,0.91,0.15,0.45,0.44,0.02,1.75,91.66,2.39,0.96,55.48,19.78,3.89,13.94,21.72,27.83,1232
21.48,4.38,4.58,63.22,4.21,0.95,0.14,0.46,0.44,0.02,1.75,91.59,2.4,0.96,55.33,19.94,3.87,13.92,21.66,27.82,1218
21.45,4.34,4.6,63.12,4.28,0.92,0.14,0.45,0.43,0.02,1.69,91.63,2.4,0.94,55.49,19.74,3.73,13.99,21.45,27.81,1196
21.37,4.4,4.6,63.25,4.18,0.97,0.14,0.47,0.44,0.02,1.75,91.98,2.38,0.96,56.09,19.05,3.88,13.98,21.74,27.88,1172
21.38,4.42,4.68,63.2,4.13,0.94,0.14,0.47,0.45,0.02,2.04,91.83,2.35,0.94,55.72,19.34,3.79,14.23,21.81,28.06,1171
21.37,4.45,4.74,63.14,4.24,0.91,0.13,0.46,0.44,0.02,1.73,91.7,2.33,0.94,55.32,19.62,3.76,14.42,21.95,28.4,1140
21.43,4.46,4.64,63.17,4.23,0.83,0.13,0.43,0.41,0.02,1.71,91.65,2.36,0.96,55.22,19.88,3.99,14.09,22.07,28.18,1255
21.45,4.43,4.64,63.25,4.11,0.88,0.13,0.42,0.41,0.02,1.76,91.73,2.37,0.95,55.56,19.66,3.89,14.09,21.88,27.95,1219
